slice,degree,trial,alpha
catalan,3,0,1.12702+0j
catalan,3,1,1.12702+0j
catalan,3,2,1.12702+0j
catalan,3,3,1.12702+0j
catalan,3,4,1.12702+0j
catalan,3,5,1.12702+0j
catalan,3,6,1.12702+0j
catalan,3,7,1.12702+0j
catalan,3,8,1.12702+0j
catalan,3,9,1.12702+0j
catalan,5,0,1.12702+0j
catalan,5,1,1.12702+0j
catalan,5,2,1.12702+0j
catalan,5,3,1.12702+0j
catalan,5,4,1.12702+0j
catalan,5,5,1.12702+0j
catalan,5,6,1.12702+0j
catalan,5,7,1.12702+0j
catalan,5,8,1.12702+0j
catalan,5,9,1.12702+0j
catalan,8,0,1.12702+0j
catalan,8,1,1.12702+0j
catalan,8,2,1.12702+0j
catalan,8,3,1.12702+0j
catalan,8,4,1.12702+0j
catalan,8,5,1.12702+0j
catalan,8,6,1.12702+0j
catalan,8,7,1.12702+0j
catalan,8,8,1.12702+0j
catalan,8,9,1.12702+0j
